ID,time,age,gender,student_pref,specialization,teacher_pref
0,2020-08-11 12:07:17-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Educational based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH WHO ARE BEST AND LOVE THE MOST.
1,2020-08-14 20:23:02-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
2,2020-08-14 20:26:08-05:30,20,Male,A TEACHER WHO KNOW ALL CHAPTERS OF A SUBJECT IN AVG.,Educational based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
3,2020-08-14 20:26:59-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Educational based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
4,2020-08-14 20:38:29-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
5,2020-08-14 20:41:18-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
6,2020-08-14 20:41:19-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
7,2020-08-14 20:51:57-05:30,21,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
8,2020-08-14 20:56:17-05:30,19,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
9,2020-08-14 21:06:51-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
10,2020-08-14 21:12:08-05:30,21,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
11,2020-08-14 21:42:46-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
12,2020-08-14 21:56:44-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
13,2020-08-14 22:01:09-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
14,2020-08-14 22:05:03-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
15,2020-08-14 22:08:01-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
16,2020-08-14 22:10:03-05:30,22,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
17,2020-08-14 22:10:45-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
18,2020-08-14 22:23:25-05:30,,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
19,2020-08-14 22:29:39-05:30,20,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
20,2020-08-14 22:36:18-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
21,2020-08-14 22:51:27-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
22,2020-08-14 22:59:08-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
23,2020-08-14 23:15:49-05:30,23,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
24,2020-08-14 23:25:03-05:30,19,Male,"A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.;A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
25,2020-08-14 23:38:28-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
26,2020-08-14 23:39:57-05:30,22,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
27,2020-08-15 01:14:31-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
28,2020-08-15 01:48:00-05:30,23,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
29,2020-08-15 04:30:58-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
30,2020-08-15 05:53:06-05:30,20,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
31,2020-08-15 10:09:06-05:30,20,Female,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
32,2020-08-15 10:47:16-05:30,23,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
33,2020-08-15 11:11:39-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
34,2020-08-15 12:00:03-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
35,2020-08-15 12:50:37-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
36,2020-08-15 13:26:28-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
37,2020-08-15 13:33:20-05:30,23,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
38,2020-08-15 13:35:28-05:30,22,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
39,2020-08-15 13:39:34-05:30,19,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
40,2020-08-15 13:40:16-05:30,22,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),1.TEACHING ALL CHAPTERS OF A SUBJECT .
41,2020-08-15 13:43:19-05:30,19,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
42,2020-08-15 13:46:46-05:30,18,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
43,2020-08-15 13:55:11-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
44,2020-08-15 14:56:37-05:30,19,Male,"A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.;A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
45,2020-08-15 17:27:27-05:30,22+,Male,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
46,2020-08-16 20:18:52-05:30,18,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
47,2020-08-23 20:21:58-05:30,22,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
48,2020-08-23 20:23:44-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
49,2020-08-26 21:51:53-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
50,2020-09-27 14:26:11-05:30,19,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
51,2020-09-27 14:28:26-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
52,2020-09-27 14:30:53-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
53,2020-09-27 14:33:14-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
54,2020-09-27 14:35:45-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
55,2020-09-27 14:38:11-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
56,2020-09-27 14:41:02-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
57,2020-09-27 14:43:11-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
58,2020-09-27 14:45:00-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
59,2020-09-27 14:49:37-05:30,20,Female,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
60,2020-09-27 14:51:38-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
61,2020-09-27 14:53:28-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
62,2020-09-27 14:55:44-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
63,2020-09-27 14:56:41-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
64,2020-09-27 14:59:22-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
65,2020-09-27 15:09:35-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
66,2020-09-27 15:13:16-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
67,2020-09-27 15:15:03-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
68,2020-09-27 15:17:00-05:30, 20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
69,2020-09-27 15:19:39-05:30,19,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
70,2020-09-27 15:49:26-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
71,2020-09-27 15:50:46-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
72,2020-09-27 15:53:38-05:30,22,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
73,2020-09-27 15:54:41-05:30,19,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
74,2020-09-27 15:55:57-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
75,2020-09-27 15:57:29-05:30,20,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
76,2020-09-27 15:59:03-05:30,21,Male,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
77,2020-09-27 15:59:57-05:30,22,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
78,2020-09-27 16:01:31-05:30,23,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
79,2020-09-27 16:02:33-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
80,2020-09-27 16:04:58-05:30,19,Female,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
81,2020-09-27 16:06:27-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
82,2020-09-27 16:08:15-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
83,2020-09-27 16:09:05-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
84,2020-09-27 16:10:20-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
85,2020-09-27 16:12:37-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
86,2020-09-27 16:13:59-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
87,2020-09-27 16:15:24-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
88,2020-09-27 16:16:39-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
89,2020-09-27 16:17:39-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
90,2020-09-27 16:18:58-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
91,2020-09-27 16:20:13-05:30,23,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
92,2020-09-27 16:21:18-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
93,2020-09-27 16:22:59-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
94,2020-09-27 16:25:02-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
95,2020-09-27 16:26:28-05:30,19,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
96,2020-09-27 16:27:46-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
97,2020-09-27 16:28:55-05:30,19,Female,A TEACHER WHO KNOWS ALL CHAPTERS OF A SUBJECT IN AVG.,Education based on specialization,2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
98,2020-09-27 16:29:55-05:30,23,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education based on specialization,1.TEACHING ALL CHAPTERS OF A SUBJECT .
99,2020-09-27 16:31:37-05:30,20,Female,"A TEACHER WHO KNOWS ONLY ONE CHAPTER ,BUT HE /SHE  IS BEST IN IT.",Education not based on specialization(avg.),2.TEACHING ONLY CHAPTER OF A SUBJECT IN WHICH YOU ARE BEST AND LOVE THE MOST.
